vesselFlagCountry,year,workingGroup,quarter,area,fisheriesManagementUnit,metier6,fleet,variableType,total
DK ,2023 ,WGBFAS,1,27.3.a.21 ,,,Active ,ScientificDaysAtSea,1941
DK ,2023 ,WGBFAS,1,27.3.a.21 ,,,Passive ,ScientificDaysAtSea,307
DK ,2023 ,WGBFAS,1,27.3.b.23 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,1,27.3.b.23 ,,,Passive ,ScientificDaysAtSea,255
DK ,2023 ,WGBFAS,1,27.3.c.22 ,,,Active ,ScientificDaysAtSea,208
DK ,2023 ,WGBFAS,1,27.3.c.22 ,,,Passive ,ScientificDaysAtSea,923
DK ,2023 ,WGBFAS,1,27.3.d.24 ,,,Active ,ScientificDaysAtSea,78
DK ,2023 ,WGBFAS,1,27.3.d.24 ,,,Passive ,ScientificDaysAtSea,75
DK ,2023 ,WGBFAS,1,27.3.d.25 ,,,Active ,ScientificDaysAtSea,85
DK ,2023 ,WGBFAS,1,27.3.d.25 ,,,Passive ,ScientificDaysAtSea,135
DK ,2023 ,WGBFAS,1,27.3.d.26 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,1,27.3.d.26 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,1,27.3.d.27 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,1,27.3.d.27 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,1,27.3.d.29 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,1,27.3.d.29 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,2,27.3.a.21 ,,,Active ,ScientificDaysAtSea,3452
DK ,2023 ,WGBFAS,2,27.3.a.21 ,,,Passive ,ScientificDaysAtSea,531
DK ,2023 ,WGBFAS,2,27.3.b.23 ,,,Active ,ScientificDaysAtSea,62
DK ,2023 ,WGBFAS,2,27.3.b.23 ,,,Passive ,ScientificDaysAtSea,386
DK ,2023 ,WGBFAS,2,27.3.c.22 ,,,Active ,ScientificDaysAtSea,845
DK ,2023 ,WGBFAS,2,27.3.c.22 ,,,Passive ,ScientificDaysAtSea,1211
DK ,2023 ,WGBFAS,2,27.3.d.24 ,,,Active ,ScientificDaysAtSea,98
DK ,2023 ,WGBFAS,2,27.3.d.24 ,,,Passive ,ScientificDaysAtSea,156
DK ,2023 ,WGBFAS,2,27.3.d.25 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,2,27.3.d.25 ,,,Passive ,ScientificDaysAtSea,38
DK ,2023 ,WGBFAS,2,27.3.d.26 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,2,27.3.d.26 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,2,27.3.d.27 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,2,27.3.d.27 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,2,27.3.d.29 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,2,27.3.d.29 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,3,27.3.a.21 ,,,Active ,ScientificDaysAtSea,4082
DK ,2023 ,WGBFAS,3,27.3.a.21 ,,,Passive ,ScientificDaysAtSea,437
DK ,2023 ,WGBFAS,3,27.3.b.23 ,,,Active ,ScientificDaysAtSea,44
DK ,2023 ,WGBFAS,3,27.3.b.23 ,,,Passive ,ScientificDaysAtSea,357
DK ,2023 ,WGBFAS,3,27.3.c.22 ,,,Active ,ScientificDaysAtSea,602
DK ,2023 ,WGBFAS,3,27.3.c.22 ,,,Passive ,ScientificDaysAtSea,727
DK ,2023 ,WGBFAS,3,27.3.d.24 ,,,Active ,ScientificDaysAtSea,123
DK ,2023 ,WGBFAS,3,27.3.d.24 ,,,Passive ,ScientificDaysAtSea,83
DK ,2023 ,WGBFAS,3,27.3.d.25 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,3,27.3.d.25 ,,,Passive ,ScientificDaysAtSea,28
DK ,2023 ,WGBFAS,3,27.3.d.26 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,3,27.3.d.26 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,3,27.3.d.27 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,3,27.3.d.27 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,3,27.3.d.29 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,3,27.3.d.29 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,4,27.3.a.21 ,,,Active ,ScientificDaysAtSea,1880
DK ,2023 ,WGBFAS,4,27.3.a.21 ,,,Passive ,ScientificDaysAtSea,153
DK ,2023 ,WGBFAS,4,27.3.b.23 ,,,Active ,ScientificDaysAtSea,11
DK ,2023 ,WGBFAS,4,27.3.b.23 ,,,Passive ,ScientificDaysAtSea,137
DK ,2023 ,WGBFAS,4,27.3.c.22 ,,,Active ,ScientificDaysAtSea,433
DK ,2023 ,WGBFAS,4,27.3.c.22 ,,,Passive ,ScientificDaysAtSea,551
DK ,2023 ,WGBFAS,4,27.3.d.24 ,,,Active ,ScientificDaysAtSea,45
DK ,2023 ,WGBFAS,4,27.3.d.24 ,,,Passive ,ScientificDaysAtSea,50
DK ,2023 ,WGBFAS,4,27.3.d.25 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,4,27.3.d.25 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,4,27.3.d.26 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,4,27.3.d.26 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,4,27.3.d.27 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,4,27.3.d.27 ,,,Passive ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,4,27.3.d.29 ,,,Active ,ScientificDaysAtSea,0
DK ,2023 ,WGBFAS,4,27.3.d.29 ,,,Passive ,ScientificDaysAtSea,0
